1	Ihr	_	ihr	_	PPOSAT	_	nom|pl|*|2	0	2	_	NK	_	_
2	Profil	_	Profil	_	NN	_	nom|sg|*	0	0	_	--	_	_
3	:	_	--	_	$.	_	_	0	2	_	--	_	_
4	-	_	--	_	$(	_	_	0	3	_	--	_	_
5	Verkaufserfahrung	_	Verkaufserfahrung	_	NN	_	nom|sg|fem	0	6	_	OA	_	_
6	erwünscht	_	erwünscht	_	VVFIN	_	pos	0	2	_	APP	_	_
7	-	_	--	_	$(	_	_	0	6	_	--	_	_
8	Kundenfreundlichkeit	_	Kundenfreundlichkeit	_	NN	_	nom|sg|fem	0	6	_	OA	_	_
9	-	_	--	_	$(	_	_	0	8	_	--	_	_
10	Zuverlässigkeit	_	Zuverlässigkeit	_	NN	_	nom|sg|fem	0	8	_	CJ	_	_
11	-	_	--	_	$(	_	_	0	10	_	--	_	_
12	Flexibilität	_	Flexibilität	_	NN	_	nom|sg|fem	0	10	_	CJ	_	_

1	Wir	_	wir	_	PPER	_	nom|pl|*|1	0	2	_	SB	_	_
2	wünschen	_	wünschen	_	VVFIN	_	pl|1|pres|ind	0	0	_	--	_	_
3	uns	_	uns	_	PPER	_	acc|pl|1	0	2	_	DA	_	_
4	:	_	--	_	$.	_	_	0	3	_	--	_	_
5	*	_	--	_	XY	_	_	0	0	_	--	_	_
6	eine	_	ein	_	ART	_	nom|sg|fem	0	8	_	NK	_	_
7	abgeschlossene	_	abgeschlossen	_	ADJA	_	nom|sg|fem|pos	0	8	_	NK	_	_
8	Ausbildung	_	Ausbildung	_	NN	_	nom|sg|fem	0	2	_	OA	_	_
9	als	_	als	_	APPR	_	_	0	8	_	MNR	_	_
10	Immobilienkaufmann_-frau	_	Immobilienkaufmann_-frau	_	NN	_	nom|sg|fem	0	9	_	NK	_	_
11	*	_	--	_	$(	_	nom|sg|fem|pos	0	10	_	--	_	_
12	Berufserfahrung	_	Berufserfahrung	_	NN	_	nom|sg|fem	0	8	_	APP	_	_
13	in	_	in	_	APPR	_	_	0	12	_	MNR	_	_
14	der	_	der	_	ART	_	dat|sg|fem	0	15	_	NK	_	_
15	Hausverwaltung	_	Hausverwaltung	_	NN	_	dat|sg|fem	0	13	_	NK	_	_
16	von	_	von	_	APPR	_	_	0	15	_	PG	_	_
17	A-Z	_	A-Z	_	NE	_	_	0	18	_	PNC	_	_
18	*	_	--	_	NE	_	_	0	16	_	NK	_	_
19	einen	_	ein	_	ART	_	acc|sg|masc	0	21	_	NK	_	_
20	routinierten	_	routiniert	_	ADJA	_	acc|sg|masc|pos	0	21	_	NK	_	_
21	Umgang	_	Umgang	_	NN	_	acc|sg|masc	0	2	_	OA	_	_
22	mit	_	mit	_	APPR	_	_	0	21	_	OP	_	_
23	MS-Office	_	MS-Office	_	NN	_	_	0	22	_	NK	_	_
24	*	_	--	_	$(	_	_	0	23	_	--	_	_
25	vorzugsweise	_	vorzugsweise	_	ADJA	_	_	0	26	_	NK	_	_
26	Erfahrung	_	Erfahrung	_	NN	_	*|sg|fem	0	21	_	CJ	_	_
27	mit	_	mit	_	APPR	_	_	0	26	_	MNR	_	_
28	der	_	der	_	ART	_	dat|sg|fem	0	29	_	NK	_	_
29	Software	_	Software	_	NN	_	dat|sg|fem	0	27	_	NK	_	_
30	Domus	_	Domus	_	NE	_	gen|sg|masc	0	29	_	AG	_	_
31	und	_	und	_	KON	_	_	0	30	_	CD	_	_
32	*	_	--	_	NE	_	_	0	31	_	CJ	_	_
33	gute	_	gut	_	ADJA	_	nom|pl|fem|pos	0	34	_	NK	_	_
34	Umgangsformen	_	Umgangsform	_	NN	_	nom|pl|fem	0	26	_	CJ	_	_

1	Idealerweise	_	Idealerweise	_	ADV	_	_	0	14	_	MO	_	_
2	haben	_	haben	_	VAFIN	_	pl|3|pres|ind	0	0	_	--	_	_
3	Sie	_	sie	_	PPER	_	nom|pl|*|3	0	2	_	SB	_	_
4	eine	_	ein	_	ART	_	acc|sg|fem	0	5	_	NK	_	_
5	Ausbildung	_	Ausbildung	_	NN	_	acc|sg|fem	0	14	_	OA	_	_
6	als	_	als	_	APPR	_	_	0	5	_	MNR	_	_
7	Metallbauer_in	_	Metallbauer_in	_	NN	_	nom|sg|fem	0	6	_	NK	_	_
8	bzw.	_	bzw.	_	KON	_	_	0	7	_	CD	_	_
9	Konstruktionsmechaniker_in	_	Konstruktionsmechaniker_in	_	NN	_	nom|sg|fem	0	8	_	CJ	_	_
10	oder	_	oder	_	KON	_	_	0	5	_	CD	_	_
11	einem	_	ein	_	ART	_	dat|sg|masc	0	13	_	NK	_	_
12	artverwandten	_	artverwandt	_	ADJA	_	dat|sg|masc|pos	0	13	_	NK	_	_
13	Beruf	_	Beruf	_	NN	_	dat|sg|masc	0	10	_	CJ	_	_
14	abgeschlossen	_	abschließen	_	VVPP	_	_	0	2	_	OC	_	_
15	und	_	und	_	KON	_	_	0	2	_	CD	_	_
16	verfügen	_	verfügen	_	VVFIN	_	pl|3|pres|ind	0	15	_	CJ	_	_
17	bereits	_	bereits	_	ADV	_	_	0	16	_	MO	_	_
18	über	_	über	_	APPR	_	_	0	16	_	OP	_	_
19	eine	_	ein	_	ART	_	acc|sg|fem	0	21	_	NK	_	_
20	gewisse	_	gewiß	_	ADJA	_	acc|sg|fem|pos	0	21	_	NK	_	_
21	Berufserfahrung	_	Berufserfahrung	_	NN	_	acc|sg|fem	0	18	_	NK	_	_
22	.	_	--	_	$.	_	_	0	21	_	--	_	_

1	Anforderungsprofil	_	Anforderungsprofil	_	NN	_	nom|sg|neut	0	16	_	PAR	_	_
2	:	_	--	_	$.	_	_	0	1	_	--	_	_
3	*	_	--	_	XY	_	_	0	0	_	--	_	_
4	gut	_	gut	_	ADJD	_	pos	0	5	_	MO	_	_
5	abgeschlossene	_	abgeschlossen	_	ADJA	_	acc|sg|fem|pos	0	6	_	NK	_	_
6	Ausbildung	_	Ausbildung	_	NN	_	acc|sg|fem	0	1	_	PAR	_	_
7	als	_	als	_	APPR	_	_	0	6	_	MNR	_	_
8	Fachverkäufer_in	_	Fachverkäufer_in	_	NN	_	nom|sg|neut	0	7	_	NK	_	_
9	im	_	in	_	APPRART	_	dat|sg|neut	0	8	_	MNR	_	_
10	Lebensmittelhandwerk	_	Lebensmittelhandwerk	_	NN	_	dat|sg|neut	0	9	_	NK	_	_
11	(	_	--	_	$(	_	_	0	10	_	--	_	_
